Designator,Mid X,Mid Y,Rotation,Layer
C1,138.75,-102.0,180.0,top
C2,139.25,-82.0,270.0,top
C3,138.75,-56.5,180.0,top
R1,138.75,-93.0,0.0,top
R2,139.5,-73.0,90.0,top
R3,138.75,-64.25,0.0,top
U2,138.75,-97.5,180.0,top
U3,138.5,-77.75,180.0,top
U4,138.75,-61.0,180.0,top
