Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100nF,
"J1, J2, J3",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,3,Conn_01x03_Pin,
"R1, R2, R3",0805,3,4.7k,
U1,RPi_Pico_FootprintOnly,1,Pico,
"U2, U3, U4",SOT-23-5,3,74LVC1G125,
