Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100nF,C49678
"R1, R2, R3",0805,3,4.7k,C17673
"U2, U3, U4",SOT-23-5,3,74LVC1G125,C23654
